outliers,auc,trials,sigma
0,0.857951027986439,0,1e-06
0,0.8579025165472414,1,1e-06
0,0.8578650997798962,2,1e-06
0,0.8579776055100439,3,1e-06
0,0.8579642556317126,4,1e-06
0,0.857898825032629,5,1e-06
0,0.8579025326447882,6,1e-06
0,0.8578348427758793,7,1e-06
0,0.8579480302271952,8,1e-06
0,0.8579286250601852,9,1e-06
25,0.8579172145716538,0,1e-06
25,0.8579227953121861,1,1e-06
25,0.8579025893564701,2,1e-06
25,0.8578618362642275,3,1e-06
25,0.8579625818028499,4,1e-06
25,0.8578951667635583,5,1e-06
25,0.8579640965269961,6,1e-06
25,0.8578842545481391,7,1e-06
25,0.8578977500354198,8,1e-06
25,0.85791588284802,9,1e-06
50,0.8578756018702342,0,1e-06
50,0.8579794462763607,1,1e-06
50,0.8579463478377929,2,1e-06
50,0.8579410474790291,3,1e-06
50,0.8578804505195942,4,1e-06
50,0.8578902422944854,5,1e-06
50,0.8579431880813184,6,1e-06
50,0.8578890373375243,7,1e-06
50,0.8579443246532367,8,1e-06
50,0.8579292672486079,9,1e-06
75,0.8579447187318595,0,1e-06
75,0.14987569879705956,1,1e-06
75,0.8579200640399098,2,1e-06
75,0.8579120517729851,3,1e-06
75,0.857956957739875,4,1e-06
75,0.8579178982467356,5,1e-06
75,0.8578526147881136,6,1e-06
75,0.8578998823735449,7,1e-06
75,0.8579755658880532,8,1e-06
75,0.8579400407972402,9,1e-06
100,0.14942041608461942,0,1e-06
100,0.15067351251656663,1,1e-06
100,0.8579243915203644,2,1e-06
100,0.8579411989531038,3,1e-06
100,0.15016735702874107,4,1e-06
100,0.8579328102383879,5,1e-06
100,0.15062857402081853,6,1e-06
100,0.152489276981432,7,1e-06
100,0.8385491694125908,8,1e-06
100,0.14964340724400976,9,1e-06
125,0.1494127934055708,0,1e-06
125,0.14925229396740966,1,1e-06
125,0.1558539332425466,2,1e-06
125,0.14928964976778294,3,1e-06
125,0.14954416177566512,4,1e-06
125,0.15085663914188416,5,1e-06
125,0.8579141415105066,6,1e-06
125,0.14961710867477201,7,1e-06
125,0.151110540061028,8,1e-06
125,0.14924843103926375,9,1e-06
150,0.1494174376387256,0,1e-06
150,0.14928438623120094,1,1e-06
150,0.15168765256196726,2,1e-06
150,0.1503285370238449,3,1e-06
150,0.1492845451982861,4,1e-06
150,0.1492429802849133,5,1e-06
150,0.14922325395052466,6,1e-06
150,0.14943095881149343,7,1e-06
150,0.1492795329910143,8,1e-06
150,0.14944656848745244,9,1e-06
175,0.1492027811336258,0,1e-06
175,0.14922493896491448,1,1e-06
175,0.14920401081168777,2,1e-06
175,0.1492153680742842,3,1e-06
175,0.1492307549797563,4,1e-06
175,0.14921647660293338,5,1e-06
175,0.149231363415949,6,1e-06
175,0.149215463485188,7,1e-06
175,0.14924298599451838,8,1e-06
175,0.14921353695875997,9,1e-06
200,0.1492239438080575,0,1e-06
200,0.1492171375498293,1,1e-06
200,0.14919617891996595,2,1e-06
200,0.14920205814884474,3,1e-06
200,0.14920860007418096,4,1e-06
200,0.14919016154807344,5,1e-06
200,0.14919999857434038,6,1e-06
200,0.1492060054717475,7,1e-06
200,0.14918641058220733,8,1e-06
200,0.14920728457573357,9,1e-06
225,0.1491919954739199,0,1e-06
225,0.14919070528126446,1,1e-06
225,0.14920823185219856,2,1e-06
225,0.14920315687891694,3,1e-06
225,0.1491986427781169,4,1e-06
225,0.14919227468147075,5,1e-06
225,0.14919478902969055,6,1e-06
225,0.14920495392859234,7,1e-06
225,0.1491869778431034,8,1e-06
225,0.14918817740230578,9,1e-06
250,0.1492003030420748,0,1e-06
250,0.14919881460116075,1,1e-06
250,0.14918561199511932,2,1e-06
250,0.14918646057767374,3,1e-06
250,0.14919231071090283,4,1e-06
250,0.149197060396569,5,1e-06
250,0.14919069903370474,6,1e-06
250,0.14919428812578944,7,1e-06
250,0.14920476786151193,8,1e-06
250,0.14918950077281384,9,1e-06
275,0.1491845181725548,0,1e-06
275,0.14918963750002998,1,1e-06
